FPOGD,FPOGV,Question,Regions
0.08251,0,1,3
0.08251,0,1,-1
0.08251,0,1,0
0.08251,0,1,3
0.08251,0,1,-1
0.04874,0,1,1
0.1148,0,1,-1
0.10036,0,1,4
0.06544,0,1,-1
0.19701,0,1,0
0.19701,0,1,-1
0.13132,0,1,1
0.18128,1,1,0
0.19769,1,1,-1
0.21366,1,1,1
0.2299,0,1,0
0.2299,0,1,-1
0.2299,0,1,5
0.37786,0,1,-1
0.37786,0,1,4
0.37786,0,1,3
0.05001,0,1,-1
0.05001,0,1,2
0.05001,0,1,-1
0.16447,0,2,3
0.16447,0,2,2
0.16447,0,2,1
0.14805,0,2,2
0.19717,1,2,-1
0.21397,1,2,1
0.04942,1,2,2
0.04942,0,2,0
0.04942,0,2,-1
0.06555,0,2,3
0.263,0,2,2
0.263,0,2,3
0.08202999999999999,1,2,1
0.08202999999999999,0,2,0
0.08202999999999999,0,2,1
0.08202999999999999,0,2,2
0.08202999999999999,0,2,3
0.08202999999999999,0,2,-1
0.08202999999999999,0,2,4
0.08202999999999999,0,2,2
0.08202999999999999,0,2,-1
0.08202999999999999,0,2,4
0.08202999999999999,0,2,2
0.41008,0,2,-1
0.41008,0,2,4
0.41008,0,2,3
0.41008,0,2,2
0.21362,0,2,-1
0.21362,0,2,2
0.42747,0,2,1
0.42747,0,2,-1
0.42747,0,2,0
0.42747,0,2,3
0.42747,0,2,0
0.42747,0,2,-1
0.4274600000000001,0,2,0
0.4274600000000001,0,2,3
0.4274600000000001,0,2,-1
0.08371,0,2,0
0.08371,0,2,-1
0.08371,0,2,3
0.24602,1,2,2
0.24602,0,2,1
0.24602,0,2,0
0.24602,0,2,1
0.24602,0,2,0
0.27968000000000004,0,2,-1
0.08242999999999999,0,2,0
0.18053,1,2,-1
0.08287,0,2,0
0.08287,0,2,-1
0.08287,0,2,0
0.08287,0,2,-1
0.08287,0,2,0
0.08287,0,2,2
0.08287,0,2,1
0.08287,0,2,-1
0.24652,0,2,0
0.24652,0,2,2
0.24652,0,2,-1
0.24652,0,2,0
0.24652,0,2,-1
0.24652,0,2,2
0.36151,0,2,-1
0.36151,0,2,5
0.23015,1,2,-1
0.23015,0,2,3
0.23015,0,2,2
0.19757,1,2,1
0.21513,1,2,2
0.24657,0,2,0
0.24657,0,2,-1
0.24657,0,2,0
0.24657,0,2,2
0.08282,0,3,-1
0.08282,0,3,1
0.08282,0,3,2
0.08282,0,3,3
0.08282,0,3,-1
0.04962,0,3,0
0.04962,0,3,-1
0.04962,0,3,2
0.62402,1,3,-1
0.657,1,3,3
0.70654,0,3,2
0.70654,0,3,0
0.70654,0,3,-1
0.26286,0,3,0
0.26286,0,3,-1
0.26286,0,3,0
0.26286,0,3,-1
0.26286,0,3,1
0.04813,1,3,-1
0.08101,1,3,0
0.08226,1,3,-1
0.08226,0,3,1
0.08226,0,3,3
0.08226,0,3,-1
0.08226,0,3,1
0.08226,0,3,0
0.08226,0,3,1
0.08226,0,3,0
0.08226,0,3,-1
0.06601,1,3,0
0.08199999999999999,1,3,1
0.13138,1,3,-1
0.18063,1,3,0
0.19846,1,3,-1
0.21342,1,3,1
0.26463000000000003,1,3,-1
0.26463000000000003,0,3,0
0.26463000000000003,0,3,-1
0.24722,0,3,4
0.24722,0,3,-1
0.24722,0,3,0
0.24722,0,3,-1
0.06624,0,3,0
0.06624,0,3,2
0.14786,1,3,1
0.14786,0,3,0
0.14786,0,3,-1
0.19716,0,3,0
0.19716,0,3,3
0.24629,0,3,-1
0.24629,0,3,5
0.22868,0,4,-1
0.09868,0,4,0
0.09868,0,4,-1
0.09868,0,4,2
0.09868,0,4,-1
0.09868,0,4,4
0.09868,0,4,3
0.09868,0,4,1
0.04929,1,4,2
0.42734,0,4,3
0.42734,0,4,-1
0.42734,0,4,4
0.42734,0,4,2
0.42734,0,4,1
0.08223,1,4,-1
0.09827,1,4,2
0.49254,1,4,-1
0.52565,1,4,2
0.54204,1,4,-1
0.60764,1,4,1
0.04948,1,4,-1
0.08232,1,4,2
0.11475,1,4,3
0.16518,0,4,-1
0.16518,0,4,2
0.16518,0,4,-1
0.16518,0,4,1
0.16518,0,4,-1
0.16518,0,4,1
0.16518,0,4,-1
0.18085,0,4,2
0.18085,0,4,-1
0.18085,0,4,3
0.18085,0,4,4
0.18085,0,4,-1
0.14775,0,4,0
0.14775,0,4,2
0.14775,0,4,-1
0.14775,0,4,4
0.14775,0,4,2
0.14775,0,4,-1
0.04918,0,4,0
0.04918,0,4,1
0.08212,1,4,2
0.13136,1,4,3
0.13136,0,4,-1
0.13136,0,4,0
0.13136,0,4,-1
0.13136,0,4,1
0.04945,0,4,3
0.04945,0,4,-1
0.14789000000000002,1,4,0
0.24669,1,4,-1
0.27968000000000004,0,4,3
0.27968000000000004,0,4,-1
0.27968000000000004,0,4,3
0.27968000000000004,0,4,0
0.27968000000000004,0,4,-1
0.27968000000000004,0,4,3
0.27968000000000004,0,4,-1
0.13124,0,4,1
0.13124,0,4,-1
0.13124,0,4,2
0.08182,0,4,-1
0.1478,0,4,2
0.06631000000000001,0,4,0
0.06631000000000001,0,4,-1
0.06631000000000001,0,4,1
0.06631000000000001,0,4,-1
0.06631000000000001,0,4,0
0.06631000000000001,0,4,-1
0.06631000000000001,0,4,0
0.38017,0,4,1
0.38017,0,4,3
0.38017,0,4,4
0.38017,0,4,3
0.38017,0,4,2
0.38017,0,4,1
0.38017,0,4,-1
0.38017,0,4,0
0.27904,0,4,1
0.27904,0,4,-1
0.27904,0,4,0
0.27904,0,4,2
0.27904,0,4,1
0.27904,0,4,-1
0.13487000000000002,1,4,1
0.21358,0,4,-1
0.04884,1,4,1
0.1149,1,4,2
0.18027,1,4,-1
0.19655,1,4,1
0.27888,0,4,-1
0.27888,0,4,0
0.05077,1,4,1
0.08235,1,4,2
0.08235,0,4,3
0.08235,0,4,4
0.08235,0,4,3
0.08235,0,4,2
0.04886,1,4,3
0.11472,1,4,4
0.21339,0,4,3
0.0654,1,4,4
0.0654,0,4,-1
0.0654,0,4,0
0.0654,0,4,-1
0.2137,0,4,4
0.2137,0,4,3
0.2137,0,4,2
0.2137,0,4,1
0.2137,0,4,-1
0.2137,0,4,1
0.31209000000000003,0,4,2
0.31209000000000003,0,4,3
0.31209000000000003,0,4,2
0.31209000000000003,0,4,1
0.31209000000000003,0,4,0
0.31209000000000003,0,4,-1
0.31209000000000003,0,4,2
0.19719,0,4,-1
0.14795999999999998,0,4,0
0.14795999999999998,0,4,3
0.14795999999999998,0,4,-1
0.32869,0,4,0
0.32869,0,4,-1
0.32869,0,4,2
0.32869,0,4,3
0.32869,0,4,4
0.32869,0,4,-1
0.32869,0,4,4
0.049,0,4,-1
0.049,0,4,5
0.049,0,4,-1
0.049,0,4,5
0.32854,0,4,-1
0.32854,0,4,0
0.32854,0,5,-1
0.11505,1,5,2
0.21461,0,5,-1
0.21461,0,5,2
0.4274600000000001,0,5,0
0.4274600000000001,0,5,-1
0.0652,0,5,0
0.19733,0,5,-1
0.1972,0,5,0
0.06552000000000001,0,5,-1
0.23013000000000006,0,5,0
0.23013000000000006,0,5,2
0.23013000000000006,0,5,-1
0.19507,0,5,4
0.19507,0,5,1
0.19507,0,5,3
0.19507,0,5,0
0.19507,0,5,-1
0.19507,0,5,3
0.19507,0,5,-1
0.19507,0,5,4
0.19507,0,5,-1
0.19507,0,5,1
0.19507,0,5,-1
0.19507,0,5,0
0.19507,0,5,-1
0.19507,0,5,1
0.19507,0,5,-1
0.06583,0,5,0
0.06583,0,5,1
0.06583,0,5,2
0.06583,0,5,-1
0.06583,0,5,2
0.19742,0,5,-1
0.06645,0,5,1
0.06645,0,5,2
0.06645,0,5,4
0.06645,0,5,-1
0.06645,0,5,0
0.06645,0,5,3
0.14845,1,5,2
0.1813,1,5,3
0.21426,0,5,4
0.21426,0,5,-1
0.19695,0,5,0
0.19695,0,5,-1
0.06598,0,5,4
0.06598,0,5,-1
0.06598,0,5,4
0.06598,0,5,3
0.06598,0,5,2
0.14865,1,5,3
0.18094,1,5,4
0.1971,0,5,-1
0.1971,0,5,2
0.1971,0,5,-1
0.049510000000000005,1,5,2
0.06577999999999999,1,5,3
0.08249,0,5,-1
0.06802000000000001,0,5,0
0.04935,0,5,-1
0.09906,0,5,4
0.06531,0,5,-1
0.08238,0,5,4
0.08238,0,5,-1
0.08238,0,5,5
0.08211,1,5,-1
0.24651,1,5,5
0.49272,0,5,-1
0.11662,0,6,2
0.11662,0,6,-1
0.11662,0,6,0
0.11662,0,6,1
0.11662,0,6,2
0.26295,0,6,-1
0.04964,0,6,0
0.04964,0,6,-1
0.049260000000000005,0,6,1
0.08235,1,6,2
0.09853,1,6,1
0.37935,1,6,2
0.0833,0,6,0
0.0833,0,6,-1
0.0833,0,6,4
0.0833,0,6,-1
0.0833,0,6,0
0.0833,0,6,-1
0.0833,0,6,4
0.0833,0,6,-1
0.0833,0,6,4
0.0833,0,6,-1
0.0833,0,6,3
0.08202000000000001,0,6,-1
0.08202000000000001,0,6,4
0.08202000000000001,0,6,3
0.04913,1,6,4
0.06625,1,6,3
0.09851,1,6,2
0.16427999999999998,1,6,1
0.19702,0,6,2
0.19702,0,6,1
0.06592,1,6,-1
0.08232,1,6,0
0.1973,0,6,-1
0.19684,0,6,4
0.19684,0,6,-1
0.19684,0,6,3
0.09853,0,6,-1
0.24658,0,6,1
0.24658,0,6,-1
0.24658,0,6,5
0.24658,0,6,-1
0.24658,0,6,3
0.24658,0,6,-1
0.0811,0,6,4
0.0811,0,6,-1
0.0811,0,6,4
0.0811,0,6,-1
0.0811,0,6,4
0.0811,0,6,-1
0.09995,0,6,0
0.09995,0,6,1
0.09995,0,6,2
0.09995,0,6,-1
0.09995,0,6,0
0.09995,0,6,3
0.26398,0,6,4
0.26398,0,6,-1
0.26398,0,6,0
0.26398,0,6,1
0.26398,0,6,0
0.26398,0,6,-1
0.14754,0,6,5
0.3936,0,6,-1
0.1311,0,6,2
0.18277,0,7,-1
0.18277,0,7,2
