FPOGD,FPOGV,Question,Regions
0.11456,1,1,-1
7.3760699999999995,1,1,0
0.24615000000000004,1,1,1
0.31203000000000003,1,1,-1
1.5122099999999998,1,1,0
8.62955,1,1,-1
4.60079,1,1,0
1.79132,1,1,-1
0.49126000000000003,1,1,-1
4.32991,1,1,0
17.162459999999996,1,1,3
0.54186,1,1,-1
0.17968,1,1,-1
1.98699,1,1,0
1.24918,1,1,-1
15.800529999999997,1,2,3
0.5594,1,2,2
0.57551,1,2,1
0.34587999999999997,1,2,-1
1.1014900000000003,1,2,1
0.24613000000000002,1,2,2
2.36475,1,2,1
1.11836,1,2,1
2.03581,1,2,1
0.62481,1,2,2
42.109500000000004,1,2,2
1.27849,1,2,-1
0.24413999999999997,1,2,0
2.2060199999999996,1,2,-1
0.39454,1,2,-1
0.14746,1,2,0
0.65777,1,2,-1
1.05073,1,2,1
1.74198,1,3,-1
0.57486,1,3,0
2.71124,1,3,-1
1.06795,1,3,0
5.22613,1,3,1
0.82207,1,3,-1
1.3479700000000003,1,3,2
30.032410000000002,1,3,3
4.0285,1,3,2
3.22108,1,3,3
1.0680299999999998,1,3,-1
0.55866,1,3,2
1.1667399999999999,1,3,-1
5.325049999999999,1,3,3
40.26720999999999,1,3,2
7.769199999999999,1,3,1
0.5099899999999999,1,3,-1
0.34487,1,3,0
1.42863,1,3,-1
0.59162,1,3,0
3.5951899999999997,1,3,5
1.36282,1,4,0
6.52938,1,4,2
0.11538000000000001,1,4,-1
9.59072,1,4,0
1.1144999999999998,1,4,-1
11.32497,1,4,3
0.6573899999999999,1,4,4
4.23835,1,4,3
3.0246999999999993,1,4,5
1.33267,1,4,-1
5.653930000000001,1,5,1
1.00258,1,5,-1
0.19756,1,5,-1
5.4128099999999995,1,5,1
26.003650000000007,1,5,2
0.54064,1,5,4
0.21255,1,5,3
0.45799999999999996,1,5,4
2.21912,1,5,-1
0.31236,1,5,1
2.20456,1,5,-1
0.19733,1,6,-1
0.93581,1,6,2
22.119660000000007,1,6,3
11.224889999999998,1,6,4
3.5830899999999994,1,6,5
0.9685900000000001,1,7,-1
0.49362,1,7,4
5.5733999999999995,1,7,3
1.44469,1,7,2
0.49160000000000004,1,7,0
2.62669,1,7,-1
0.8385800000000001,1,7,0
0.64081,1,7,-1
1.39768,1,7,0
1.1831099999999999,1,7,0
4.19043,1,7,2
0.39462,1,7,3
1.234,1,8,1
0.21378000000000005,1,8,-1
1.7739700000000003,1,8,-1
13.264030000000005,1,8,0
4.039440000000001,1,8,2
0.72399,1,8,3
9.720649999999997,1,8,1
0.59128,1,8,1
0.31167999999999996,1,8,-1
0.77178,1,8,1
7.473190000000001,1,8,1
6.166489999999999,1,8,3
9.76342,1,8,4
0.82287,1,8,2
1.91072,1,8,3
0.54138,1,9,0
0.68964,1,9,-1
3.8952100000000005,1,9,-1
0.92021,1,9,1
1.2493199999999998,1,9,3
2.2499399999999996,1,9,2
0.14543,1,9,1
1.02633,1,9,2
0.63843,1,9,3
0.6404,1,10,1
0.54222,1,10,-1
19.550060000000002,1,10,0
4.119029999999998,1,10,-1
0.11513000000000001,1,10,-1
0.57432,1,10,0
0.98563,1,10,-1
4.35327,1,10,1
12.558169999999999,1,10,1
1.7475999999999998,1,10,2
0.75563,1,10,1
0.1973,1,10,0
1.47846,1,10,-1
1.67524,1,10,0
13.118459999999997,1,10,0
11.881279999999997,1,10,3
17.191050000000004,1,10,3
0.47626,1,10,-1
0.5251600000000001,1,10,-1
0.85249,1,10,0
1.06837,1,11,-1
0.19783,1,11,-1
4.688490000000001,1,11,4
1.26836,1,11,3
13.835619999999997,1,11,1
25.244110000000006,1,11,0
0.14957,1,11,0
33.04017999999999,1,11,2
1.62457,1,11,2
24.335759999999993,1,11,1
10.28753,1,11,2
1.23806,1,11,3
20.69129000000001,1,11,2
1.45025,1,11,2
32.83828,1,11,2
2.05795,1,11,5
2.38229,1,12,-1
2.16915,1,12,1
1.40026,1,12,0
0.7397,1,12,-1
11.7476,1,12,2
1.9365499999999998,1,12,2
2.00123,1,12,1
0.11505,1,12,-1
1.03516,1,12,1
6.85261,1,12,3
0.7386600000000001,1,12,-1
2.4976700000000003,1,12,1
0.1973,1,12,-1
6.789879999999998,1,12,0
0.5592900000000001,1,12,1
0.8217899999999999,1,12,-1
4.6985,1,12,0
4.7874099999999995,1,13,0
0.29457,1,13,-1
14.487460000000002,1,13,1
0.32822,1,13,-1
6.307050000000001,1,13,2
7.648960000000001,1,13,3
3.5440500000000004,1,14,1
1.98603,1,14,2
0.18075999999999998,1,14,-1
0.24578,1,14,3
6.53788,1,14,2
2.42942,1,14,2
5.120739999999999,1,14,3
11.412439999999997,1,14,4
3.939230000000001,1,14,5
0.64068,1,14,-1
0.60823,1,14,-1
0.64084,1,14,0
2.0696,1,14,-1
11.90108,1,14,1
0.27905,1,15,-1
18.115609999999993,1,15,0
0.16408,1,15,-1
3.58014,1,15,1
3.4673400000000005,1,15,5
0.47764999999999996,1,15,-1
0.53704,1,15,-1
0.94724,1,16,1
0.88219,1,16,-1
0.2641,1,16,-1
0.29666,1,17,1
0.56165,1,17,-1
0.9694200000000001,1,17,0
4.25442,1,17,0
0.5424899999999999,1,17,1
0.69011,1,17,-1
8.888170000000002,1,17,0
0.29554,1,17,4
25.878610000000005,1,17,3
0.3976,1,17,3
0.54495,1,17,2
0.6578,1,17,0
9.938900000000002,1,17,2
2.61205,1,17,1
0.52576,1,17,1
6.4447600000000005,1,17,2
0.4768,1,17,2
0.26297,1,17,-1
1.2157200000000001,1,17,2
5.719320000000001,1,17,3
0.7239,1,17,-1
3.6109100000000005,1,18,-1
0.73949,1,18,-1
2.20038,1,18,1
15.916609999999997,1,18,1
3.9406499999999998,1,18,0
0.9048699999999998,1,18,1
9.07926,1,18,3
28.287649999999992,1,18,2
3.23863,1,19,3
0.89926,1,19,3
0.7430700000000001,1,19,1
0.39489,1,19,-1
17.91273000000001,1,19,0
2.25185,1,19,1
11.229280000000001,1,19,4
1.34504,1,19,2
3.6859900000000003,1,19,0
1.2663900000000001,1,19,2
4.63624,1,19,3
6.0330900000000005,1,19,4
0.5909800000000001,1,19,-1
1.3967900000000002,1,19,0
4.88196,1,19,-1
0.3782,1,20,-1
3.31502,1,20,0
1.7893100000000002,1,20,0
3.35134,1,20,4
1.78984,1,20,3
2.66319,1,20,2
25.28584,1,20,3
0.76862,1,21,-1
0.5423100000000001,1,21,-1
1.78599,1,21,2
8.32921,1,21,2
3.31751,1,21,3
1.3800999999999999,1,21,4
1.47909,1,21,3
17.49932,1,21,4
0.11469,1,21,-1
0.8211,1,21,2
4.48463,1,21,3
2.90941,1,21,2
0.5422100000000001,1,21,-1
15.180779999999997,1,21,3
0.18088,1,21,-1
0.39416,1,21,1
0.98568,1,21,3
4.04237,1,21,4
9.77775,1,21,3
1.25081,1,21,3
0.59362,1,21,4
0.34524,1,21,2
1.9062000000000001,1,21,3
2.56319,1,21,4
3.59686,1,21,3
5.57611,1,21,1
2.02114,1,21,-1
1.45866,1,21,0
1.3853499999999999,1,21,-1
0.42662999999999995,1,21,3
13.550880000000001,1,21,4
14.73137,1,21,4
0.65756,1,21,-1
9.737249999999998,1,21,1
0.49198,1,21,4
6.255230000000001,1,21,3
0.14771,1,21,-1
1.47708,1,21,1
0.50863,1,21,-1
41.17876999999999,1,21,1
3.45071,1,21,-1
25.99852,1,21,1
0.23328,1,21,2
0.7399,1,21,-1
0.11542,1,22,0
0.57648,1,22,-1
13.424409999999998,1,22,1
4.424079999999999,1,22,0
5.70486,1,22,3
1.62717,1,22,3
0.83851,1,22,4
1.3298699999999999,1,22,3
24.435860000000012,1,23,2
1.03406,1,23,2
1.15177,1,23,3
1.19927,1,23,2
0.13172,1,23,1
0.70575,1,23,2
1.5959100000000002,1,24,1
0.59146,1,24,2
1.4784899999999999,1,24,-1
8.936250000000001,1,24,0
1.39738,1,24,4
1.39736,1,24,3
0.23016,1,24,-1
0.59155,1,24,-1
0.91896,1,24,0
7.050779999999998,1,25,0
3.15674,1,25,1
0.14645,1,25,4
4.56014,1,25,3
0.29566,1,25,0
0.11493,1,25,-1
0.26311999999999997,1,25,1
11.885539999999999,1,25,3
0.9192200000000001,1,25,3
4.254650000000001,1,25,2
0.42712,1,25,-1
8.3783,1,25,3
0.68976,1,25,-1
118.57004000000006,1,25,2
15.216539999999997,1,25,1
17.73241,1,25,-1
5.508870000000001,1,26,-1
1.1227800000000001,1,26,0
4.8607,1,26,0
0.29679,1,26,2
5.425720000000001,1,26,3
0.7402299999999999,1,26,2
0.18091,1,26,-1
0.64124,1,26,2
0.24725,1,26,-1
0.5427500000000001,1,26,3
0.29593,1,26,-1
3.40372,1,26,2
0.93686,1,26,-1
2.07062,1,26,2
0.55862,1,26,-1
1.24338,1,26,2
6.135909999999999,1,26,3
0.14798,1,26,-1
4.732190000000001,1,26,3
2.41569,1,26,-1
4.009169999999999,1,26,1
0.8390199999999999,1,27,-1
18.010239999999996,1,27,0
0.20919,1,27,-1
1.44665,1,27,1
4.826340000000001,1,27,2
7.079499999999999,1,27,1
3.9957899999999995,1,27,0
1.27945,1,27,2
0.67438,1,27,-1
0.18158,1,27,-1
0.41052,1,27,2
26.108489999999996,1,27,3
55.321290000000005,1,27,4
0.9865299999999999,1,28,-1
22.51782999999999,1,28,0
0.13293,1,28,-1
6.156970000000003,1,28,0
1.9932099999999997,1,28,4
0.42724,1,28,-1
1.2923,1,29,0
0.41162,1,29,-1
26.336640000000006,1,29,1
2.18504,1,29,-1
3.8672099999999996,1,29,3
0.49238000000000004,1,29,3
12.87134,1,29,4
1.1835,1,29,3
0.18121,1,29,3
0.78968,1,29,-1
1.03687,1,30,0
0.59185,1,30,-1
0.65698,1,30,-1
0.11483,1,30,-1
7.458310000000001,1,30,1
0.44333000000000006,1,30,4
2.7915499999999995,1,30,3
1.70347,1,30,3
4.815049999999999,1,30,3
4.19365,1,30,2
1.3331600000000001,1,30,3
0.14804,1,30,-1
1.23302,1,30,1
4.712100000000001,1,30,2
4.0062299999999995,1,30,3
1.7778100000000001,1,30,2
3.25686,1,30,1
6.14223,1,30,2
0.8043199999999999,1,30,2
2.49718,1,30,3
0.24863000000000002,1,30,4
0.73813,1,30,3
0.8361900000000001,1,30,2
0.31217,1,31,-1
1.23166,1,31,0
2.828359999999999,1,31,0
10.7662,1,31,-1
1.2194099999999999,1,31,1
0.42536,1,31,2
0.34592,1,31,4
1.90827,1,31,3
0.18097000000000002,1,31,-1
3.71655,1,31,0
0.91272,1,31,4
0.37772,1,31,4
3.02349,1,31,-1
4.48096,1,31,0
0.41064,1,31,-1
0.11502,1,31,-1
14.697440000000002,1,31,0
0.21384,1,31,-1
0.23001,1,31,2
8.4754,1,31,3
0.59256,1,31,-1
9.550940000000004,1,31,0
11.52937,1,31,0
0.57691,1,31,-1
0.54284,1,31,-1
24.688420000000004,1,31,0
1.90786,1,31,-1
9.873380000000004,1,31,0
58.024160000000016,1,32,0
3.08434,1,32,2
20.59279,1,32,3
0.73945,1,33,0
0.19699,1,33,-1
0.11532,1,33,1
2.07367,1,33,-1
1.19958,1,33,0
24.156539999999996,1,33,0
9.887399999999998,1,33,1
0.7381,1,33,-1
23.23907999999999,1,33,0
0.69397,1,33,0
0.98895,1,33,-1
1.0363600000000002,1,33,1
0.71046,1,33,1
2.0029,1,33,1
5.993919999999999,1,33,1
1.6133799999999998,1,33,3
16.868780000000005,1,33,3
0.54468,1,33,2
24.618859999999994,1,33,3
0.29507,1,33,2
0.27676,1,33,-1
9.006819999999998,1,33,3
0.57401,1,33,-1
0.21362,1,33,-1
58.982600000000005,1,33,0
1.5470899999999999,1,33,-1
0.55884,1,33,4
1.26574,1,33,2
0.23148,1,33,-1
0.73929,1,33,1
1.9234800000000003,1,33,1
7.2223299999999995,1,33,2
