TIME(2019/12/20 11:28:22.743),TIMETICK(f=2143482),FPOGX,FPOGY,FPOGD,FPOGV,Question,Regions
193.94531,5520377284446,0.08893,0.1851,0.13280999999999998,1,20,-1
193.96094,5520377321163,0.08847000000000001,0.1844,0.14844000000000002,1,20,-1
193.97656,5520377354093,0.08852,0.18792,0.16405999999999998,1,20,-1
193.99219,5520377391091,0.08918,0.19099000000000002,0.17969000000000002,1,20,-1
194.00781,5520377425351,0.08999,0.19437000000000001,0.19530999999999998,1,20,-1
194.02344,5520377460394,0.09402999999999999,0.19688,0.21094000000000002,1,20,-1
194.03906,5520377495751,0.09672,0.19802999999999998,0.22655999999999998,1,20,-1
194.05469,5520377530333,0.09892000000000001,0.19847,0.24219000000000002,1,20,-1
194.07031,5520377565547,0.10042000000000001,0.19727,0.25781,1,20,-1
194.08594,5520377601083,0.10172,0.19866,0.27344,1,20,-1
194.10938000000002,5520377636418,0.10282999999999999,0.19963,0.29688000000000003,1,20,-1
194.125,5520377670829,0.10377,0.20065999999999998,0.3125,1,20,-1
194.14063000000002,5520377706564,0.10474000000000001,0.2007,0.32813000000000003,1,20,-1
194.15625,5520377742089,0.1056,0.20068,0.34375,1,20,-1
194.17188000000002,5520377776646,0.10785,0.20125,0.35938000000000003,1,20,-1
194.1875,5520377812989,0.10987999999999999,0.2021,0.375,1,20,-1
194.20313000000002,5520377848035,0.13512000000000002,0.2114,0.375,0,20,-1
194.21875,5520377882885,0.10471,0.2674,0.375,0,20,-1
194.23438000000002,5520377918488,0.09706000000000001,0.29993000000000003,0.375,0,20,-1
194.25,5520377952876,0.07837999999999999,0.34864,0.375,0,20,-1
194.27344,5520377988540,0.07464,0.34529,0.375,0,20,-1
194.28906,5520378023792,0.07718,0.34449,0.375,0,20,-1
194.30469,5520378059758,0.07872,0.34521,0.054689999999999996,1,20,-1
194.32031,5520378093372,0.07961,0.34039,0.07031,1,20,-1
194.33594,5520378129662,0.07712999999999999,0.33919,0.08594,1,20,-1
194.35156,5520378164225,0.07583,0.33963000000000004,0.10156,1,20,-1
194.36719,5520378199844,0.07715,0.34244,0.11719,1,20,-1
194.38281,5520378234635,0.08247,0.34735,0.13280999999999998,1,20,-1
194.40625,5520378272638,0.08674,0.35128000000000004,0.15625,1,20,-1
194.42188000000002,5520378304759,0.08649,0.35409,0.17188,1,20,-1
194.4375,5520378340890,0.08802,0.35638000000000003,0.1875,1,20,-1
194.45313000000002,5520378376198,0.08932000000000001,0.35831,0.20313,1,20,-1
194.46875,5520378410482,0.09039,0.35932,0.21875,1,20,-1
194.48438000000002,5520378445719,0.0914,0.36067,0.23438,1,20,-1
