FPOGD,FPOGV,Question,Regions
16.91944,1,1,2
0.35791,1,1,0
0.28662,1,1,-1
0.7436499999999999,1,1,1
6.411640000000001,1,1,3
0.9458,1,1,3
1.92822,1,1,-1
9.09376,1,2,1
10.924330000000003,1,2,2
4.94678,1,2,0
13.14551,1,2,0
4.419420000000001,1,3,0
7.31007,1,3,4
6.2382800000000005,1,3,-1
4.705659999999997,1,4,-1
7.479480000000001,1,4,0
0.26855,1,4,-1
8.08102,1,4,1
4.07131,1,4,0
0.64405,1,4,-1
8.052229999999998,1,4,1
1.1250200000000001,1,4,3
2.20557,1,4,4
0.18262,1,4,3
4.69875,1,4,4
0.73143,1,5,3
34.324219999999976,1,5,0
1.9819500000000005,1,5,3
10.632810000000001,1,5,2
1.09717,1,6,0
0.6972700000000001,1,6,-1
0.5254,1,6,1
0.36816,1,6,3
3.01905,1,6,2
0.37793,1,6,-1
12.048840000000004,1,6,3
4.801760000000001,1,6,3
1.0839800000000002,1,7,1
0.19434,1,7,3
0.5962,1,7,3
26.851580000000002,1,8,0
1.41014,1,8,2
3.18407,1,8,1
0.42139,1,8,-1
4.47997,1,8,2
2.1943200000000003,1,8,3
2.2012,1,8,2
8.85205,1,8,1
1.0463799999999999,1,8,3
2.7295099999999994,1,8,2
1.12304,1,8,3
6.173829999999999,1,9,1
1.5742200000000002,1,9,1
0.43262,1,9,0
2.625,1,9,-1
2.78126,1,9,0
0.97607,1,9,-1
19.56058,1,9,0
3.3510999999999997,1,10,3
10.21046,1,10,4
1.84815,1,10,-1
12.21727,1,10,0
1.65283,1,11,-1
9.71093,1,11,0
2.57471,1,11,1
5.446290000000001,1,11,2
0.70556,1,11,2
19.005850000000006,1,12,2
4.09622,1,12,0
0.39111,1,13,-1
5.263179999999999,1,13,-1
4.90089,1,13,-1
5.31935,1,14,0
1.02343,1,14,2
0.21338,1,14,-1
8.104010000000002,1,14,1
0.60743,1,14,2
17.681149999999995,1,14,0
11.707510000000006,1,15,3
2.5258800000000003,1,15,2
0.47753999999999996,1,15,3
6.72753,1,15,0
7.103019999999998,1,16,1
7.630840000000001,1,17,1
5.66893,1,17,3
4.16209,1,17,-1
0.37842,1,17,0
1.6875,1,17,-1
8.233899999999998,1,17,-1
24.23141,1,17,-1
37.36815000000001,1,17,0
8.851560000000001,1,17,4
32.601549999999996,1,17,2
0.5747,1,17,3
2.8735299999999997,1,18,-1
0.6333,1,18,-1
15.589380000000002,1,18,1
6.39845,1,18,-1
1.09521,1,18,-1
0.5586,1,18,-1
9.10838,1,18,0
0.25049,1,19,-1
0.3125,1,19,0
4.291989999999999,1,19,-1
4.67431,1,19,1
2.58447,1,19,4
1.77149,1,19,3
0.7617200000000001,1,19,2
9.024890000000003,1,19,4
0.42284,1,20,-1
2.54149,1,20,0
2.12157,1,20,-1
0.11280000000000001,1,20,0
37.05856,1,20,1
0.77735,1,20,2
7.949720000000001,1,20,3
4.046379999999999,1,21,0
10.89647,1,21,0
1.5454100000000002,1,21,2
12.005869999999996,1,21,1
8.79538,1,21,2
13.194809999999999,1,21,3
1.0185600000000001,1,21,0
1.1884700000000001,1,22,-1
0.39307,1,22,-1
3.1636,1,22,-1
6.07424,1,22,1
0.81738,1,22,-1
